,box date,month,wkday,game type,game count,list of games
,2022-04-07,Apr,Thu,Regular Season,7,SDN-ARI ... CIN-ATL ... MIL-CHN ... PIT-SLN ... NYN-WAS ... HOU-ANA ... CLE-KCA
,2022-04-08,Apr,Fri,Regular Season,12,SDN-ARI ... CIN-ATL ... LAN-COL ... OAK-PHI ... MIA-SFN ... NYN-WAS ... HOU-ANA ... CHA-DET ... SEA-MIN ... BOS-NYA ... BAL-TBA ... TEX-TOR
,2022-04-09,Apr,Sat,Regular Season,15,SDN-ARI ... CIN-ATL ... MIL-CHN ... LAN-COL ... OAK-PHI ... MIA-SFN ... PIT-SLN ... NYN-WAS ... HOU-ANA ... CHA-DET ... CLE-KCA ... SEA-MIN ... BOS-NYA ... BAL-TBA ... TEX-TOR
,2022-04-10,Apr,Sun,Regular Season,15,SDN-ARI ... CIN-ATL ... MIL-CHN ... LAN-COL ... OAK-PHI ... MIA-SFN ... PIT-SLN ... NYN-WAS ... HOU-ANA ... CHA-DET ... CLE-KCA ... SEA-MIN ... BOS-NYA ... BAL-TBA ... TEX-TOR
,2022-04-11,Apr,Mon,Regular Season,11,WAS-ATL ... NYN-PHI ... SDN-SFN ... MIA-ANA ... MIL-BAL ... BOS-DET ... CLE-KCA ... SEA-MIN ... TOR-NYA ... OAK-TBA ... COL-TEX
,2022-04-12,Apr,Tue,Regular Season,15,HOU-ARI ... WAS-ATL ... CLE-CIN ... NYN-PHI ... CHN-PIT ... SDN-SFN ... KCA-SLN ... MIA-ANA ... MIL-BAL ... SEA-CHA ... BOS-DET ... LAN-MIN ... TOR-NYA ... OAK-TBA ... COL-TEX
,2022-04-13,Apr,Wed,Regular Season,12,HOU-ARI ... WAS-ATL ... CLE-CIN ... NYN-PHI ... CHN-PIT ... SDN-SFN ... MIL-BAL ... SEA-CHA ... BOS-DET ... LAN-MIN ... TOR-NYA ... OAK-TBA
,2022-04-14,Apr,Thu,Regular Season,11,CHN-COL ... CIN-LAN ... PHI-MIA ... SLN-MIL ... WAS-PIT ... ATL-SDN ... SEA-CHA ... DET-KCA ... TOR-NYA ... OAK-TBA ... ANA-TEX
,2022-04-15,Apr,Fri,Regular Season,15,CHN-COL ... CIN-LAN ... PHI-MIA ... SLN-MIL ... ARI-NYN ... WAS-PIT ... ATL-SDN ... NYA-BAL ... MIN-BOS ... TBA-CHA ... SFN-CLE ... DET-KCA ... HOU-SEA ... ANA-TEX ... OAK-TOR
,2022-04-16,Apr,Sat,Regular Season,15,CHN-COL ... CIN-LAN ... PHI-MIA ... SLN-MIL ... ARI-NYN ... WAS-PIT ... ATL-SDN ... NYA-BAL ... MIN-BOS ... TBA-CHA ... SFN-CLE ... DET-KCA ... HOU-SEA ... ANA-TEX ... OAK-TOR
,2022-04-17,Apr,Sun,Regular Season,14,CHN-COL ... CIN-LAN ... PHI-MIA ... SLN-MIL ... ARI-NYN ... WAS-PIT ... ATL-SDN ... NYA-BAL ... MIN-BOS ... TBA-CHA ... SFN-CLE ... HOU-SEA ... ANA-TEX ... OAK-TOR
,2022-04-18,Apr,Mon,Regular Season,8,TBA-CHN ... PHI-COL ... ATL-LAN ... PIT-MIL ... CIN-SDN ... MIN-BOS ... ANA-HOU ... BAL-OAK
,2022-04-19,Apr,Tue,Regular Season,16,TBA-CHN ... PHI-COL ... ATL-LAN ... SLN-MIA ... PIT-MIL ... SFN-NYN ... SFN-NYN ... CIN-SDN ... ARI-WAS ... ARI-WAS ... TOR-BOS ... NYA-DET ... ANA-HOU ... MIN-KCA ... BAL-OAK ... TEX-SEA
,2022-04-20,Apr,Wed,Regular Season,16,TBA-CHN ... PHI-COL ... ATL-LAN ... SLN-MIA ... PIT-MIL ... SFN-NYN ... CIN-SDN ... ARI-WAS ... TOR-BOS ... CHA-CLE ... CHA-CLE ... NYA-DET ... ANA-HOU ... MIN-KCA ... BAL-OAK ... TEX-SEA
,2022-04-21,Apr,Thu,Regular Season,10,PIT-CHN ... SLN-MIA ... SFN-NYN ... ARI-WAS ... TOR-BOS ... CHA-CLE ... NYA-DET ... MIN-KCA ... BAL-OAK ... TEX-SEA
,2022-04-22,Apr,Fri,Regular Season,14,NYN-ARI ... MIA-ATL ... PIT-CHN ... SLN-CIN ... MIL-PHI ... LAN-SDN ... SFN-WAS ... BAL-ANA ... TOR-HOU ... CHA-MIN ... CLE-NYA ... TEX-OAK ... KCA-SEA ... BOS-TBA
,2022-04-23,Apr,Sat,Regular Season,16,NYN-ARI ... MIA-ATL ... PIT-CHN ... SLN-CIN ... MIL-PHI ... LAN-SDN ... SFN-WAS ... BAL-ANA ... COL-DET ... COL-DET ... TOR-HOU ... CHA-MIN ... CLE-NYA ... TEX-OAK ... KCA-SEA ... BOS-TBA
,2022-04-24,Apr,Sun,Regular Season,15,NYN-ARI ... MIA-ATL ... PIT-CHN ... SLN-CIN ... MIL-PHI ... LAN-SDN ... SFN-WAS ... BAL-ANA ... COL-DET ... TOR-HOU ... CHA-MIN ... CLE-NYA ... TEX-OAK ... KCA-SEA ... BOS-TBA
,2022-04-25,Apr,Mon,Regular Season,7,LAN-ARI ... SFN-MIL ... COL-PHI ... NYN-SLN ... CLE-ANA ... HOU-TEX ... BOS-TOR
,2022-04-26,Apr,Tue,Regular Season,15,LAN-ARI ... CHN-ATL ... SDN-CIN ... COL-PHI ... MIL-PIT ... OAK-SFN ... NYN-SLN ... MIA-WAS ... CLE-ANA ... KCA-CHA ... DET-MIN ... BAL-NYA ... SEA-TBA ... HOU-TEX ... BOS-TOR
,2022-04-27,Apr,Wed,Regular Season,15,LAN-ARI ... CHN-ATL ... SDN-CIN ... COL-PHI ... MIL-PIT ... OAK-SFN ... NYN-SLN ... MIA-WAS ... CLE-ANA ... KCA-CHA ... DET-MIN ... BAL-NYA ... SEA-TBA ... HOU-TEX ... BOS-TOR
,2022-04-28,Apr,Thu,Regular Season,13,CHN-ATL ... SDN-CIN ... COL-PHI ... MIL-PIT ... ARI-SLN ... MIA-WAS ... CLE-ANA ... KCA-CHA ... DET-MIN ... BAL-NYA ... SEA-TBA ... HOU-TEX ... BOS-TOR
,2022-04-29,Apr,Fri,Regular Season,15,CIN-COL ... DET-LAN ... SEA-MIA ... CHN-MIL ... PHI-NYN ... SDN-PIT ... WAS-SFN ... ARI-SLN ... BOS-BAL ... ANA-CHA ... NYA-KCA ... CLE-OAK ... MIN-TBA ... ATL-TEX ... HOU-TOR
,2022-04-30,Apr,Sat,Regular Season,15,CIN-COL ... DET-LAN ... SEA-MIA ... CHN-MIL ... PHI-NYN ... SDN-PIT ... WAS-SFN ... ARI-SLN ... BOS-BAL ... ANA-CHA ... NYA-KCA ... CLE-OAK ... MIN-TBA ... ATL-TEX ... HOU-TOR
,2022-05-01,May,Sun,Regular Season,15,CIN-COL ... DET-LAN ... SEA-MIA ... CHN-MIL ... PHI-NYN ... SDN-PIT ... WAS-SFN ... ARI-SLN ... BOS-BAL ... ANA-CHA ... NYA-KCA ... CLE-OAK ... MIN-TBA ... ATL-TEX ... HOU-TOR
,2022-05-02,May,Mon,Regular Season,8,ARI-MIA ... ATL-NYN ... KCA-SLN ... MIN-BAL ... ANA-CHA ... SEA-HOU ... TBA-OAK ... NYA-TOR
,2022-05-03,May,Tue,Regular Season,14,CHA-CHN ... WAS-COL ... SFN-LAN ... ARI-MIA ... CIN-MIL ... ATL-NYN ... ATL-NYN ... TEX-PHI ... MIN-BAL ... ANA-BOS ... SEA-HOU ... SLN-KCA ... TBA-OAK ... NYA-TOR
,2022-05-04,May,Wed,Regular Season,17,CHA-CHN ... WAS-COL ... SFN-LAN ... ARI-MIA ... CIN-MIL ... ATL-NYN ... TEX-PHI ... MIN-BAL ... ANA-BOS ... SDN-CLE ... SDN-CLE ... PIT-DET ... PIT-DET ... SEA-HOU ... SLN-KCA ... TBA-OAK ... NYA-TOR
,2022-05-05,May,Thu,Regular Season,10,WAS-COL ... CIN-MIL ... NYN-PHI ... MIA-SDN ... SLN-SFN ... MIN-BAL ... ANA-BOS ... TOR-CLE ... DET-HOU ... TBA-SEA
,2022-05-06,May,Fri,Regular Season,9,COL-ARI ... MIL-ATL ... MIA-SDN ... SLN-SFN ... WAS-ANA ... CHA-BOS ... DET-HOU ... OAK-MIN ... TBA-SEA
,2022-05-07,May,Sat,Regular Season,15,COL-ARI ... MIL-ATL ... LAN-CHN ... LAN-CHN ... PIT-CIN ... PIT-CIN ... MIA-SDN ... SLN-SFN ... WAS-ANA ... CHA-BOS ... TOR-CLE ... TOR-CLE ... DET-HOU ... OAK-MIN ... TBA-SEA
,2022-05-08,May,Sun,Regular Season,18,COL-ARI ... MIL-ATL ... LAN-CHN ... PIT-CIN ... NYN-PHI ... NYN-PHI ... MIA-SDN ... SLN-SFN ... WAS-ANA ... KCA-BAL ... KCA-BAL ... CHA-BOS ... TOR-CLE ... DET-HOU ... OAK-MIN ... TEX-NYA ... TEX-NYA ... TBA-SEA
,2022-05-09,May,Mon,Regular Season,11,MIA-ARI ... MIL-CIN ... LAN-PIT ... CHN-SDN ... COL-SFN ... TBA-ANA ... KCA-BAL ... CLE-CHA ... OAK-DET ... TEX-NYA ... PHI-SEA
,2022-05-10,May,Tue,Regular Season,16,MIA-ARI ... BOS-ATL ... MIL-CIN ... LAN-PIT ... CHN-SDN ... COL-SFN ... BAL-SLN ... NYN-WAS ... TBA-ANA ... CLE-CHA ... OAK-DET ... OAK-DET ... HOU-MIN ... TOR-NYA ... PHI-SEA ... KCA-TEX
,2022-05-11,May,Wed,Regular Season,14,MIA-ARI ... BOS-ATL ... MIL-CIN ... LAN-PIT ... CHN-SDN ... COL-SFN ... BAL-SLN ... NYN-WAS ... TBA-ANA ... OAK-DET ... HOU-MIN ... TOR-NYA ... PHI-SEA ... KCA-TEX
,2022-05-12,May,Thu,Regular Season,8,PHI-LAN ... CIN-PIT ... BAL-SLN ... NYN-WAS ... NYA-CHA ... OAK-DET ... HOU-MIN ... KCA-TEX
,2022-05-13,May,Fri,Regular Season,15,CHN-ARI ... SDN-ATL ... KCA-COL ... PHI-LAN ... MIL-MIA ... SEA-NYN ... CIN-PIT ... SFN-SLN ... HOU-WAS ... NYA-CHA ... BAL-DET ... CLE-MIN ... ANA-OAK ... TOR-TBA ... BOS-TEX
,2022-05-14,May,Sat,Regular Season,16,CHN-ARI ... SDN-ATL ... KCA-COL ... PHI-LAN ... MIL-MIA ... SEA-NYN ... CIN-PIT ... SFN-SLN ... HOU-WAS ... NYA-CHA ... BAL-DET ... CLE-MIN ... ANA-OAK ... ANA-OAK ... TOR-TBA ... BOS-TEX
,2022-05-15,May,Sun,Regular Season,15,CHN-ARI ... SDN-ATL ... KCA-COL ... PHI-LAN ... MIL-MIA ... SEA-NYN ... CIN-PIT ... SFN-SLN ... HOU-WAS ... NYA-CHA ... BAL-DET ... CLE-MIN ... ANA-OAK ... TOR-TBA ... BOS-TEX
,2022-05-16,May,Mon,Regular Season,12,PIT-CHN ... SFN-COL ... ARI-LAN ... WAS-MIA ... ATL-MIL ... NYA-BAL ... HOU-BOS ... CHA-KCA ... MIN-OAK ... DET-TBA ... ANA-TEX ... SEA-TOR
,2022-05-17,May,Tue,Regular Season,18,PIT-CHN ... SFN-COL ... ARI-LAN ... ARI-LAN ... WAS-MIA ... ATL-MIL ... SLN-NYN ... SLN-NYN ... SDN-PHI ... NYA-BAL ... HOU-BOS ... CIN-CLE ... CHA-KCA ... CHA-KCA ... MIN-OAK ... DET-TBA ... ANA-TEX ... SEA-TOR
,2022-05-18,May,Wed,Regular Season,14,PIT-CHN ... SFN-COL ... ARI-LAN ... WAS-MIA ... ATL-MIL ... SLN-NYN ... SDN-PHI ... NYA-BAL ... HOU-BOS ... CHA-KCA ... MIN-OAK ... DET-TBA ... ANA-TEX ... SEA-TOR
,2022-05-19,May,Thu,Regular Season,8,ARI-CHN ... SLN-NYN ... SDN-PHI ... NYA-BAL ... SEA-BOS ... CIN-CLE ... TEX-HOU ... CHA-KCA
,2022-05-20,May,Fri,Regular Season,13,ARI-CHN ... ATL-MIA ... WAS-MIL ... LAN-PHI ... SLN-PIT ... SDN-SFN ... OAK-ANA ... TBA-BAL ... SEA-BOS ... DET-CLE ... TEX-HOU ... MIN-KCA ... CIN-TOR
,2022-05-21,May,Sat,Regular Season,15,ARI-CHN ... NYN-COL ... NYN-COL ... ATL-MIA ... WAS-MIL ... LAN-PHI ... SLN-PIT ... SDN-SFN ... OAK-ANA ... TBA-BAL ... SEA-BOS ... TEX-HOU ... MIN-KCA ... CHA-NYA ... CIN-TOR
,2022-05-22,May,Sun,Regular Season,16,ARI-CHN ... NYN-COL ... ATL-MIA ... WAS-MIL ... LAN-PHI ... SLN-PIT ... SDN-SFN ... OAK-ANA ... TBA-BAL ... SEA-BOS ... DET-CLE ... TEX-HOU ... MIN-KCA ... CHA-NYA ... CHA-NYA ... CIN-TOR
