,box date,month,wkday,game type,game count,list of games
,2019-03-21,Mar,Thu,Regular Season,1,SEA-OAK
,2019-03-28,Mar,Thu,Regular Season,15,PIT-CIN ... ARI-LAN ... COL-MIA ... SLN-MIL ... ATL-PHI ... SFN-SDN ... NYN-WAS ... CHA-KCA ... CLE-MIN ... BAL-NYA ... ANA-OAK ... BOS-SEA ... HOU-TBA ... CHN-TEX ... DET-TOR
,2019-03-29,Mar,Fri,Regular Season,8,ARI-LAN ... COL-MIA ... SLN-MIL ... SFN-SDN ... ANA-OAK ... BOS-SEA ... HOU-TBA ... DET-TOR
,2019-03-30,Mar,Sat,Regular Season,14,ARI-LAN ... COL-MIA ... SLN-MIL ... ATL-PHI ... SFN-SDN ... NYN-WAS ... CHA-KCA ... CLE-MIN ... BAL-NYA ... ANA-OAK ... BOS-SEA ... HOU-TBA ... CHN-TEX ... DET-TOR
,2019-03-31,Mar,Sun,Regular Season,15,PIT-CIN ... ARI-LAN ... COL-MIA ... SLN-MIL ... ATL-PHI ... SFN-SDN ... NYN-WAS ... CHA-KCA ... CLE-MIN ... BAL-NYA ... ANA-OAK ... BOS-SEA ... HOU-TBA ... CHN-TEX ... DET-TOR
,2019-04-01,Apr,Mon,Regular Season,13,CHN-ATL ... MIL-CIN ... SFN-LAN ... NYN-MIA ... SLN-PIT ... ARI-SDN ... CHA-CLE ... DET-NYA ... BOS-OAK ... ANA-SEA ... COL-TBA ... HOU-TEX ... BAL-TOR
,2019-04-02,Apr,Tue,Regular Season,12,MIL-CIN ... SFN-LAN ... NYN-MIA ... ARI-SDN ... PHI-WAS ... MIN-KCA ... DET-NYA ... BOS-OAK ... ANA-SEA ... COL-TBA ... HOU-TEX ... BAL-TOR
,2019-04-03,Apr,Wed,Regular Season,14,CHN-ATL ... MIL-CIN ... SFN-LAN ... NYN-MIA ... SLN-PIT ... ARI-SDN ... PHI-WAS ... CHA-CLE ... MIN-KCA ... DET-NYA ... BOS-OAK ... COL-TBA ... HOU-TEX ... BAL-TOR
,2019-04-04,Apr,Thu,Regular Season,8,CHN-ATL ... WAS-NYN ... CIN-PIT ... TEX-ANA ... NYA-BAL ... TOR-CLE ... KCA-DET ... BOS-OAK
,2019-04-05,Apr,Fri,Regular Season,12,BOS-ARI ... MIA-ATL ... LAN-COL ... CHN-MIL ... MIN-PHI ... CIN-PIT ... TBA-SFN ... SDN-SLN ... TEX-ANA ... SEA-CHA ... TOR-CLE ... OAK-HOU
,2019-04-06,Apr,Sat,Regular Season,15,BOS-ARI ... MIA-ATL ... LAN-COL ... CHN-MIL ... WAS-NYN ... MIN-PHI ... CIN-PIT ... TBA-SFN ... SDN-SLN ... TEX-ANA ... NYA-BAL ... SEA-CHA ... TOR-CLE ... KCA-DET ... OAK-HOU
,2019-04-07,Apr,Sun,Regular Season,15,BOS-ARI ... MIA-ATL ... LAN-COL ... CHN-MIL ... WAS-NYN ... MIN-PHI ... CIN-PIT ... TBA-SFN ... SDN-SLN ... TEX-ANA ... NYA-BAL ... SEA-CHA ... TOR-CLE ... KCA-DET ... OAK-HOU
,2019-04-08,Apr,Mon,Regular Season,10,PIT-CHN ... ATL-COL ... WAS-PHI ... SDN-SFN ... LAN-SLN ... MIL-ANA ... OAK-BAL ... TBA-CHA ... NYA-HOU ... SEA-KCA
